Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","03/12/2023 02:29"
"Last updated:","03/12/2023 02:29"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:",Solutions
"Data table contains the following:",Solutions
"Content type","Total flow figures"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=56trCL
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Solution types included","RET,RDP,RST,NAT"
Years:
Origin:,all
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Returned refugees","Returned IDPss","Resettlement arrivals",Naturalisation
2018,Iraq,IRQ,Canada,CAN,-,-,4073,2752
2018,Iraq,IRQ,France,FRA,-,-,95,88
2018,Iraq,IRQ,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,338,-
2018,Iraq,IRQ,Iceland,ISL,-,-,28,-
2018,Iraq,IRQ,"Netherlands (Kingdom of the)",NLD,-,-,5,911
2018,Iraq,IRQ,Norway,NOR,-,-,5,-
2018,Iraq,IRQ,"New Zealand",NZL,-,-,6,-
2018,Iraq,IRQ,Sweden,SWE,-,-,43,-
2018,Iraq,IRQ,"United States of America",USA,-,-,91,-
2018,Jamaica,JAM,Canada,CAN,-,-,12,96
2018,Jordan,JOR,Australia,AUS,-,-,71,-
2018,Jordan,JOR,Canada,CAN,-,-,21,40
2018,Jordan,JOR,Sweden,SWE,-,-,5,-
2018,Kazakhstan,KAZ,"United States of America",USA,-,-,51,-
2018,Kenya,KEN,Australia,AUS,-,-,231,-
2018,Kenya,KEN,Canada,CAN,-,-,6,240
2018,Kenya,KEN,"United States of America",USA,-,-,14,-
2018,Kyrgyzstan,KGZ,"United States of America",USA,-,-,33,-
2018,"Dem. People's Rep. of Korea",PRK,"United States of America",USA,-,-,6,-
2018,Liberia,LBR,Canada,CAN,-,-,41,50
2018,Liberia,LBR,"United States of America",USA,-,-,6,-
2018,Libya,LBY,Australia,AUS,-,-,5,-
2018,Lebanon,LBN,Australia,AUS,-,-,54,-
2018,Lebanon,LBN,Canada,CAN,-,-,42,101
2018,"Sri Lanka",LKA,Canada,CAN,-,-,5,437
2018,"Sri Lanka",LKA,France,FRA,-,-,5,242
2018,"Sri Lanka",LKA,"New Zealand",NZL,-,-,27,-
2018,"Sri Lanka",LKA,"United States of America",USA,-,-,57,-
2018,Mauritania,MRT,Canada,CAN,-,-,5,10
2018,"Rep. of Moldova",MDA,"United States of America",USA,-,-,127,-
2018,Mali,MLI,Canada,CAN,-,-,16,7
2018,Mali,MLI,France,FRA,-,-,105,87
2018,Mali,MLI,Sweden,SWE,-,-,21,-
2018,Malaysia,MYS,Australia,AUS,-,-,203,-
2018,Malaysia,MYS,"United States of America",USA,-,-,5,-
2018,Malawi,MWI,Australia,AUS,-,-,46,-
